Name,Age,2024 Net Worth,Industry,Source of Wealth,Self-Made,Residence,Citizenship,Gender,Marital Status,Children
Bernard Arnault & family,75,$233B,Fashion & Retail,LVMH,FALSE,"Paris, France",France,M,Married,5
Elon Musk,52,$195B,Automotive,"Tesla, SpaceX",TRUE,"Austin, Texas",United States,M,Single,11
Jeff Bezos,60,$194B,Technology,Amazon,TRUE,"Miami, Florida",United States,M,Engaged,4
Mark Zuckerberg,39,$177B,Technology,Facebook,TRUE,"Palo Alto, California",United States,M,Married,3
Larry Ellison,79,$141B,Technology,Oracle,TRUE,"Woodside, California",United States,M,In Relationship,4
Warren Buffett,93,$133B,Finance & Investments,Berkshire Hathaway,TRUE,"Omaha, Nebraska",United States,M,"Widowed, Remarried",3
Bill Gates,68,$128B,Technology,Microsoft,TRUE,"Medina, Washington",United States,M,Divorced,3
Steve Ballmer,68,$121B,Technology,Microsoft,TRUE,"Hunts Point, Washington",United States,M,Married,3
Mukesh Ambani,66,$116B,Diversified,Diversified,FALSE,"Mumbai, India",India,M,Married,3
Larry Page,51,$114B,Technology,Google,TRUE,"Palo Alto, California",United States,M,Married,1
Sergey Brin,50,$110B,Technology,Google,TRUE,"Los Altos, California",United States,M,Separated,3
Michael Bloomberg,82,$106B,Finance & Investments,Bloomberg LP,TRUE,"New York, New York",United States,M,In Relationship,2
Amancio Ortega,88,$103B,Fashion & Retail,Zara,TRUE,"La Coruna, Spain",Spain,M,Married,3
Carlos Slim Helu & family,84,$102B,Telecom,Telecom,TRUE,"Mexico City, Mexico",Mexico,M,Widowed,6
Francoise Bettencourt Meyers & family,70,$99.5B,Fashion & Retail,L'Oréal,FALSE,"Paris, France",France,F,Married,2
Michael Dell,59,$91B,Technology,Dell Technologies,TRUE,"Austin, Texas",United States,M,Married,4
Gautam Adani,61,$84B,Diversified,"Infrastructure, commodities",TRUE,"Ahmedabad, India",India,M,Married,2
Jim Walton & family,75,$78.4B,Fashion & Retail,Walmart,FALSE,"Bentonville, Arkansas",United States,M,Married,4
Rob Walton & family,79,$77.4B,Fashion & Retail,Walmart,FALSE,"Bentonville, Arkansas",United States,M,Married,3
Jensen Huang,61,$77B,Technology,Semiconductors,TRUE,"Los Altos, California",United States,M,Married,N/A
Alice Walton,74,$72.3B,Fashion & Retail,Walmart,FALSE,"Fort Worth, Texas",United States,F,Divorced,N/A
David Thomson & family,66,$67.8B,Media & Entertainment,Media,FALSE,"Toronto, Canada",Canada,M,Divorced,4
Julia Koch & family,61,$64.3B,Diversified,Koch Industries,FALSE,"New York, New York",United States,F,Widowed,3
