"Object","Close-Approach (CA) Date","CA DistanceNominal (au)","CA DistanceMinimum (au)","V relative(km/s)","V infinity(km/s)","H(mag)","Diameter","Rarity"
"(2024 DL)","2024-Feb-29 02:34 ± < 00:01","0.01167","0.01166","6.73","6.69","26.0","16 m -   37 m","0"
"(2024 EE)","2024-Feb-29 10:07 ± < 00:01","0.02400","0.02394","8.35","8.34","24.7","30 m -   68 m","0"
"(2024 CA7)","2024-Feb-29 20:43 ± < 00:01","0.03805","0.03799","32.50","32.50","22.6","82 m -  180 m","1"
"(2024 FE1)","2024-Mar-01 02:53 ±    02:02","0.04058","0.04015","6.01","6.00","26.1","16 m -   35 m","0"
"(2024 ES1)","2024-Mar-01 09:09 ± < 00:01","0.01764","0.01753","7.43","7.41","26.4","14 m -   31 m","0"
"(2024 FH1)","2024-Mar-01 16:00 ±    00:03","0.03829","0.03818","4.49","4.48","25.7","19 m -   43 m","0"
"(2024 EB)","2024-Mar-01 20:41 ± < 00:01","0.01588","0.01585","6.35","6.33","26.0","17 m -   38 m","0"
"(2024 EH2)","2024-Mar-03 14:00 ± < 00:01","0.01166","0.01162","12.21","12.19","26.4","14 m -   31 m","0"
"(2024 ES2)","2024-Mar-03 18:37 ± < 00:01","0.02336","0.02318","10.57","10.56","26.4","14 m -   31 m","0"
"(2024 ED)","2024-Mar-03 20:00 ± < 00:01","0.02390","0.02386","17.92","17.91","25.2","24 m -   55 m","0"
"(2019 DA1)","2024-Mar-03 20:07 ± 8_07:14","0.03748","0.00081","13.38","13.38","26.0","17 m -   38 m","0"
"(2024 EF)","2024-Mar-04 07:00 ± < 00:01","0.00039","0.00038","8.64","7.80","29.1","3.9 m -  8.8 m","1"
"(2024 CW6)","2024-Mar-04 08:20 ±    00:02","0.02553","0.02546","2.50","2.46","27.6","8.1 m -   18 m","0"
"(2024 EM2)","2024-Mar-04 09:22 ± < 00:01","0.00981","0.00977","11.35","11.33","26.9","11 m -   24 m","0"
"(2024 CK8)","2024-Mar-04 10:18 ± < 00:01","0.01777","0.01776","4.83","4.80","25.3","23 m -   52 m","0"
"(2024 EA)","2024-Mar-04 15:26 ± < 00:01","0.03544","0.03543","12.64","12.63","22.6","81 m -  180 m","1"
"(2024 EN2)","2024-Mar-04 15:49 ± < 00:01","0.00509","0.00505","17.92","17.90","26.5","13 m -   29 m","0"
"(2024 EZ)","2024-Mar-04 17:54 ± < 00:01","0.02076","0.02074","8.63","8.62","24.3","36 m -   81 m","0"
"(2024 EW3)","2024-Mar-05 21:12 ±    00:04","0.00701","0.00699","3.37","3.26","28.4","5.5 m -   12 m","0"
"(2024 EM3)","2024-Mar-05 22:58 ±    00:03","0.01943","0.01929","8.97","8.95","26.4","14 m -   31 m","0"
"(2024 EH)","2024-Mar-07 01:56 ± < 00:01","0.00338","0.00338","9.49","9.41","27.2","9.7 m -   22 m","0"
"(2024 ET3)","2024-Mar-07 17:16 ±    00:04","0.00538","0.00534","8.06","8.00","28.4","5.6 m -   12 m","0"
"(2024 EJ2)","2024-Mar-08 01:50 ± < 00:01","0.00373","0.00372","14.80","14.76","26.4","14 m -   31 m","1"
"(2024 ET1)","2024-Mar-08 03:54 ± < 00:01","0.00646","0.00645","12.01","11.97","28.5","5.2 m -   12 m","0"
"(2024 DW1)","2024-Mar-08 05:44 ± < 00:01","0.02694","0.02692","19.87","19.87","23.9","45 m -  100 m","0"
